lemma,pos,cefr_level,word_type,definition_en,definition_th,source,form,form_type,definition_th_simple
accept,verb,A2,single,To say yes to something that is offered,"ยอมรับ, รับ",oxford3000,accepts,third_person,ตอบตกลงรับสิ่งที่มีคนเสนอให้
accept,verb,A2,single,To say yes to something that is offered,"ยอมรับ, รับ",oxford3000,accepted,past,ตอบตกลงรับสิ่งที่มีคนเสนอให้
accept,verb,A2,single,To say yes to something that is offered,"ยอมรับ, รับ",oxford3000,accepting,gerund,ตอบตกลงรับสิ่งที่มีคนเสนอให้
acceptable,adj,B2,single,Good enough to be allowed or agreed to,"ที่ยอมรับได้, พอใช้ได้",oxford3000,acceptable,base,ดีพอที่จะได้รับอนุญาตหรือยอมรับ
acceptance,noun,C1,single,The act of saying yes to something or someone,การยอมรับ,oxford5000,acceptance,base,การตอบตกลงรับสิ่งใดสิ่งหนึ่งหรือใครคนหนึ่ง
acceptance,noun,C1,single,The act of saying yes to something or someone,การยอมรับ,oxford5000,acceptances,plural,การตอบตกลงรับสิ่งใดสิ่งหนึ่งหรือใครคนหนึ่ง
access,noun,B1,single,The chance or right to use or enter something,"การเข้าถึง, สิทธิ์ในการใช้",oxford3000,access,base,โอกาสหรือสิทธิ์ในการใช้หรือเข้าไปในสิ่งใดสิ่งหนึ่ง
access,noun,B1,single,The chance or right to use or enter something,"การเข้าถึง, สิทธิ์ในการใช้",oxford3000,accesses,plural,โอกาสหรือสิทธิ์ในการใช้หรือเข้าไปในสิ่งใดสิ่งหนึ่ง
access,verb,B1,single,"To reach or open something, often on a computer","เข้าถึง, เปิดใช้",oxford3000,access,base,เข้าถึงหรือเปิดสิ่งใดสิ่งหนึ่ง มักเป็นในคอมพิวเตอร์
access,verb,B1,single,"To reach or open something, often on a computer","เข้าถึง, เปิดใช้",oxford3000,accesses,third_person,เข้าถึงหรือเปิดสิ่งใดสิ่งหนึ่ง มักเป็นในคอมพิวเตอร์
access,verb,B1,single,"To reach or open something, often on a computer","เข้าถึง, เปิดใช้",oxford3000,accessed,past,เข้าถึงหรือเปิดสิ่งใดสิ่งหนึ่ง มักเป็นในคอมพิวเตอร์
access,verb,B1,single,"To reach or open something, often on a computer","เข้าถึง, เปิดใช้",oxford3000,accessing,gerund,เข้าถึงหรือเปิดสิ่งใดสิ่งหนึ่ง มักเป็นในคอมพิวเตอร์
accessible,adj,C1,single,"Easy to reach, enter or understand",ที่เข้าถึงได้ง่าย,oxford5000,accessible,base,เข้าถึงง่าย เข้าใจง่าย หรือเข้าไปได้ง่าย
accident,noun,A2,single,A bad event that hurts people and is not planned,อุบัติเหตุ,oxford3000,accident,base,เหตุการณ์ร้ายที่ทำให้คนบาดเจ็บโดยไม่ได้วางแผน
accident,noun,A2,single,A bad event that hurts people and is not planned,อุบัติเหตุ,oxford3000,accidents,plural,เหตุการณ์ร้ายที่ทำให้คนบาดเจ็บโดยไม่ได้วางแผน
accidentally,adv,B2,single,Without meaning to do it,"โดยบังเอิญ, โดยไม่ตั้งใจ",oxford5000,accidentally,base,โดยไม่ได้ตั้งใจจะทำ
accommodate,verb,B2,single,To give someone a place to stay or to make room for them,"รองรับ, จัดที่ให้",oxford5000,accommodate,base,ให้ที่พักแก่คนหรือจัดพื้นที่ให้พอสำหรับพวกเขา
accommodate,verb,B2,single,To give someone a place to stay or to make room for them,"รองรับ, จัดที่ให้",oxford5000,accommodates,third_person,ให้ที่พักแก่คนหรือจัดพื้นที่ให้พอสำหรับพวกเขา
accommodate,verb,B2,single,To give someone a place to stay or to make room for them,"รองรับ, จัดที่ให้",oxford5000,accommodated,past,ให้ที่พักแก่คนหรือจัดพื้นที่ให้พอสำหรับพวกเขา
accommodate,verb,B2,single,To give someone a place to stay or to make room for them,"รองรับ, จัดที่ให้",oxford5000,accommodating,gerund,ให้ที่พักแก่คนหรือจัดพื้นที่ให้พอสำหรับพวกเขา
accommodation,noun,B1,single,A place where someone lives or stays,ที่พัก,oxford3000,accommodation,base,สถานที่ที่ใครสักคนอาศัยหรือพักอยู่
accommodation,noun,B1,single,A place where someone lives or stays,ที่พัก,oxford3000,accommodations,plural,สถานที่ที่ใครสักคนอาศัยหรือพักอยู่
accompany,verb,B2,single,To go somewhere with someone,"ไปเป็นเพื่อน, ติดตามไปด้วย",oxford3000,accompany,base,ไปไหนมาไหนพร้อมกับใครสักคน
accompany,verb,B2,single,To go somewhere with someone,"ไปเป็นเพื่อน, ติดตามไปด้วย",oxford3000,accompanies,third_person,ไปไหนมาไหนพร้อมกับใครสักคน
accompany,verb,B2,single,To go somewhere with someone,"ไปเป็นเพื่อน, ติดตามไปด้วย",oxford3000,accompanied,past,ไปไหนมาไหนพร้อมกับใครสักคน
accompany,verb,B2,single,To go somewhere with someone,"ไปเป็นเพื่อน, ติดตามไปด้วย",oxford3000,accompanying,gerund,ไปไหนมาไหนพร้อมกับใครสักคน
accomplish,verb,B2,single,To finish something you tried to do,"ทำสำเร็จ, บรรลุผล",oxford5000,accomplish,base,ทำสิ่งที่พยายามทำให้สำเร็จ
accomplish,verb,B2,single,To finish something you tried to do,"ทำสำเร็จ, บรรลุผล",oxford5000,accomplishes,third_person,ทำสิ่งที่พยายามทำให้สำเร็จ
accomplish,verb,B2,single,To finish something you tried to do,"ทำสำเร็จ, บรรลุผล",oxford5000,accomplished,past,ทำสิ่งที่พยายามทำให้สำเร็จ
accomplish,verb,B2,single,To finish something you tried to do,"ทำสำเร็จ, บรรลุผล",oxford5000,accomplishing,gerund,ทำสิ่งที่พยายามทำให้สำเร็จ
accomplishment,noun,C1,single,Something good that you have finished doing,"ความสำเร็จ, ผลงาน",oxford5000,accomplishment,base,สิ่งดีที่คุณทำสำเร็จแล้ว
accomplishment,noun,C1,single,Something good that you have finished doing,"ความสำเร็จ, ผลงาน",oxford5000,accomplishments,plural,สิ่งดีที่คุณทำสำเร็จแล้ว
accordance,noun,C1,single,The state of following a rule or agreement,"ความสอดคล้อง, การเป็นไปตาม",oxford5000,accordance,base,การทำตามกฎหรือข้อตกลง
according to,prep,A2,phrase,As said or shown by someone or something,"ตามที่, อ้างอิงจาก",oxford3000,according to,base,ตามที่ใครหรือสิ่งใดบอกไว้หรือแสดงให้เห็น
accordingly,adv,C1,single,In a way that fits the situation; so,"ตามนั้น, ดังนั้น",oxford5000,accordingly,base,ในแบบที่เหมาะกับสถานการณ์ ดังนั้น
account,noun,B1,single,An amount of money kept at a bank; a report of what happened,"บัญชี, รายงาน",oxford3000,account,base,จำนวนเงินที่เก็บไว้ในธนาคาร หรือรายงานเรื่องที่เกิดขึ้น
account,noun,B1,single,An amount of money kept at a bank; a report of what happened,"บัญชี, รายงาน",oxford3000,accounts,plural,จำนวนเงินที่เก็บไว้ในธนาคาร หรือรายงานเรื่องที่เกิดขึ้น
account,verb,B2,single,To explain or give the reason for something,"อธิบาย, ชี้แจง",oxford3000,account,base,อธิบายหรือให้เหตุผลของสิ่งใดสิ่งหนึ่ง
account,verb,B2,single,To explain or give the reason for something,"อธิบาย, ชี้แจง",oxford3000,accounts,third_person,อธิบายหรือให้เหตุผลของสิ่งใดสิ่งหนึ่ง
account,verb,B2,single,To explain or give the reason for something,"อธิบาย, ชี้แจง",oxford3000,accounted,past,อธิบายหรือให้เหตุผลของสิ่งใดสิ่งหนึ่ง
account,verb,B2,single,To explain or give the reason for something,"อธิบาย, ชี้แจง",oxford3000,accounting,gerund,อธิบายหรือให้เหตุผลของสิ่งใดสิ่งหนึ่ง
accountability,noun,C1,single,The duty to explain your actions and take blame,ความรับผิดชอบที่ต้องตอบคำถาม,oxford5000,accountability,base,หน้าที่ที่ต้องอธิบายการกระทำของตนและรับผิดชอบ
accountability,noun,C1,single,The duty to explain your actions and take blame,ความรับผิดชอบที่ต้องตอบคำถาม,oxford5000,accountabilities,plural,หน้าที่ที่ต้องอธิบายการกระทำของตนและรับผิดชอบ
accountable,adj,C1,single,Having to explain your actions to other people,ที่ต้องรับผิดชอบ,oxford5000,accountable,base,ต้องอธิบายการกระทำของตนต่อผู้อื่น
accountant,noun,B2,single,A person whose job is to keep money records,นักบัญชี,oxford5000,accountant,base,คนที่มีอาชีพดูแลบันทึกเรื่องเงิน
accountant,noun,B2,single,A person whose job is to keep money records,นักบัญชี,oxford5000,accountants,plural,คนที่มีอาชีพดูแลบันทึกเรื่องเงิน
accumulate,verb,C1,single,To slowly grow into a bigger amount,"สะสม, พอกพูน",oxford5000,accumulate,base,ค่อยๆ เพิ่มขึ้นจนกลายเป็นจำนวนมาก
accumulate,verb,C1,single,To slowly grow into a bigger amount,"สะสม, พอกพูน",oxford5000,accumulates,third_person,ค่อยๆ เพิ่มขึ้นจนกลายเป็นจำนวนมาก
accumulate,verb,C1,single,To slowly grow into a bigger amount,"สะสม, พอกพูน",oxford5000,accumulated,past,ค่อยๆ เพิ่มขึ้นจนกลายเป็นจำนวนมาก
accumulate,verb,C1,single,To slowly grow into a bigger amount,"สะสม, พอกพูน",oxford5000,accumulating,gerund,ค่อยๆ เพิ่มขึ้นจนกลายเป็นจำนวนมาก
accumulation,noun,C1,single,An amount that has slowly grown bigger,"การสะสม, สิ่งที่สะสมไว้",oxford5000,accumulation,base,ปริมาณที่ค่อยๆ เพิ่มขึ้นจนมากขึ้น
accumulation,noun,C1,single,An amount that has slowly grown bigger,"การสะสม, สิ่งที่สะสมไว้",oxford5000,accumulations,plural,ปริมาณที่ค่อยๆ เพิ่มขึ้นจนมากขึ้น
accuracy,noun,B2,single,How correct and exact something is,"ความแม่นยำ, ความถูกต้อง",oxford5000,accuracy,base,ความถูกต้องและแม่นยำของสิ่งใดสิ่งหนึ่ง
accuracy,noun,B2,single,How correct and exact something is,"ความแม่นยำ, ความถูกต้อง",oxford5000,accuracies,plural,ความถูกต้องและแม่นยำของสิ่งใดสิ่งหนึ่ง
accurate,adj,B2,single,"Correct and exact, with no mistakes","แม่นยำ, ถูกต้อง",oxford3000,accurate,base,ถูกต้องและแม่นยำ ไม่มีข้อผิดพลาด
accurately,adv,B2,single,In a correct and exact way,"อย่างแม่นยำ, อย่างถูกต้อง",oxford5000,accurately,base,อย่างถูกต้องและแม่นยำ
accusation,noun,C1,single,A claim that someone has done something wrong,ข้อกล่าวหา,oxford5000,accusation,base,การกล่าวหาว่าใครทำสิ่งที่ผิด
accusation,noun,C1,single,A claim that someone has done something wrong,ข้อกล่าวหา,oxford5000,accusations,plural,การกล่าวหาว่าใครทำสิ่งที่ผิด
accuse,verb,B2,single,To say that someone has done something wrong,กล่าวหา,oxford3000,accuse,base,กล่าวว่าใครทำสิ่งที่ผิด
accuse,verb,B2,single,To say that someone has done something wrong,กล่าวหา,oxford3000,accuses,third_person,กล่าวว่าใครทำสิ่งที่ผิด
accuse,verb,B2,single,To say that someone has done something wrong,กล่าวหา,oxford3000,accused,past,กล่าวว่าใครทำสิ่งที่ผิด
accuse,verb,B2,single,To say that someone has done something wrong,กล่าวหา,oxford3000,accusing,gerund,กล่าวว่าใครทำสิ่งที่ผิด
accused,noun,C1,single,The person who is said to have broken the law,"จำเลย, ผู้ถูกกล่าวหา",oxford5000,accused,base,คนที่ถูกกล่าวหาว่าทำผิดกฎหมาย
achieve,verb,A2,single,To get or do something after trying hard,"บรรลุ, ทำได้สำเร็จ",oxford3000,achieve,base,ได้หรือทำสิ่งใดสิ่งหนึ่งสำเร็จหลังจากพยายามอย่างหนัก
achieve,verb,A2,single,To get or do something after trying hard,"บรรลุ, ทำได้สำเร็จ",oxford3000,achieves,third_person,ได้หรือทำสิ่งใดสิ่งหนึ่งสำเร็จหลังจากพยายามอย่างหนัก
achieve,verb,A2,single,To get or do something after trying hard,"บรรลุ, ทำได้สำเร็จ",oxford3000,achieved,past,ได้หรือทำสิ่งใดสิ่งหนึ่งสำเร็จหลังจากพยายามอย่างหนัก
achieve,verb,A2,single,To get or do something after trying hard,"บรรลุ, ทำได้สำเร็จ",oxford3000,achieving,gerund,ได้หรือทำสิ่งใดสิ่งหนึ่งสำเร็จหลังจากพยายามอย่างหนัก
achievement,noun,B1,single,Something good you did after trying hard,"ความสำเร็จ, ผลสำเร็จ",oxford3000,achievement,base,สิ่งดีที่คุณทำสำเร็จหลังจากพยายามอย่างหนัก
achievement,noun,B1,single,Something good you did after trying hard,"ความสำเร็จ, ผลสำเร็จ",oxford3000,achievements,plural,สิ่งดีที่คุณทำสำเร็จหลังจากพยายามอย่างหนัก
acid,adj,C1,single,"Having a sharp, sour taste","เปรี้ยว, ที่เป็นกรด",oxford5000,acid,base,มีรสเปรี้ยวจัด
acid,noun,B2,single,A liquid with a sharp taste that can burn things,กรด,oxford5000,acid,base,ของเหลวที่มีรสจัดและสามารถกัดกร่อนสิ่งของได้
acid,noun,B2,single,A liquid with a sharp taste that can burn things,กรด,oxford5000,acids,plural,ของเหลวที่มีรสจัดและสามารถกัดกร่อนสิ่งของได้
acknowledge,verb,B2,single,To agree that something is true or real,"ยอมรับ, รับรู้",oxford3000,acknowledge,base,ยอมรับว่าสิ่งใดสิ่งหนึ่งเป็นความจริง
acknowledge,verb,B2,single,To agree that something is true or real,"ยอมรับ, รับรู้",oxford3000,acknowledges,third_person,ยอมรับว่าสิ่งใดสิ่งหนึ่งเป็นความจริง
acknowledge,verb,B2,single,To agree that something is true or real,"ยอมรับ, รับรู้",oxford3000,acknowledged,past,ยอมรับว่าสิ่งใดสิ่งหนึ่งเป็นความจริง
acknowledge,verb,B2,single,To agree that something is true or real,"ยอมรับ, รับรู้",oxford3000,acknowledging,gerund,ยอมรับว่าสิ่งใดสิ่งหนึ่งเป็นความจริง
acquire,verb,B2,single,To get or buy something,"ได้มา, ซื้อมา",oxford3000,acquire,base,ได้มาหรือซื้อสิ่งใดสิ่งหนึ่ง
acquire,verb,B2,single,To get or buy something,"ได้มา, ซื้อมา",oxford3000,acquires,third_person,ได้มาหรือซื้อสิ่งใดสิ่งหนึ่ง
acquire,verb,B2,single,To get or buy something,"ได้มา, ซื้อมา",oxford3000,acquired,past,ได้มาหรือซื้อสิ่งใดสิ่งหนึ่ง
acquire,verb,B2,single,To get or buy something,"ได้มา, ซื้อมา",oxford3000,acquiring,gerund,ได้มาหรือซื้อสิ่งใดสิ่งหนึ่ง
acquisition,noun,C1,single,The act of getting or buying something,"การได้มา, การเข้าซื้อกิจการ",oxford5000,acquisition,base,การได้มาหรือการซื้อสิ่งใดสิ่งหนึ่ง
acquisition,noun,C1,single,The act of getting or buying something,"การได้มา, การเข้าซื้อกิจการ",oxford5000,acquisitions,plural,การได้มาหรือการซื้อสิ่งใดสิ่งหนึ่ง
acre,noun,C1,single,"A unit for measuring land, about 4,000 square metres",เอเคอร์ (หน่วยวัดที่ดิน),oxford5000,acre,base,"หน่วยวัดพื้นที่ที่ดิน ประมาณ 4,000 ตารางเมตร"
acre,noun,C1,single,"A unit for measuring land, about 4,000 square metres",เอเคอร์ (หน่วยวัดที่ดิน),oxford5000,acres,plural,"หน่วยวัดพื้นที่ที่ดิน ประมาณ 4,000 ตารางเมตร"
across,adv,A1,single,From one side to the other side,"ข้าม, ตลอด",oxford3000,across,base,จากด้านหนึ่งไปยังอีกด้านหนึ่ง
across,prep,A1,single,From one side of something to the other,"ข้าม, ผ่าน",oxford3000,across,base,จากด้านหนึ่งของสิ่งใดไปยังอีกด้านหนึ่ง
act,noun,B1,single,A thing that someone does; a law,"การกระทำ, กฎหมาย",oxford3000,act,base,สิ่งที่คนทำ หรือกฎหมายฉบับหนึ่ง
act,verb,A2,single,To do something; to play a part in a film or play,"กระทำ, แสดง",oxford3000,act,base,ทำสิ่งใดสิ่งหนึ่ง หรือแสดงบทบาทในภาพยนตร์หรือละคร
act,verb,A2,single,To do something; to play a part in a film or play,"กระทำ, แสดง",oxford3000,acts,third_person,ทำสิ่งใดสิ่งหนึ่ง หรือแสดงบทบาทในภาพยนตร์หรือละคร
act,verb,A2,single,To do something; to play a part in a film or play,"กระทำ, แสดง",oxford3000,acted,past,ทำสิ่งใดสิ่งหนึ่ง หรือแสดงบทบาทในภาพยนตร์หรือละคร
act,verb,A2,single,To do something; to play a part in a film or play,"กระทำ, แสดง",oxford3000,acting,gerund,ทำสิ่งใดสิ่งหนึ่ง หรือแสดงบทบาทในภาพยนตร์หรือละคร
action,noun,A1,single,The act of doing something to reach a goal,"การกระทำ, การลงมือ",oxford3000,action,base,การกระทำเพื่อให้บรรลุเป้าหมาย
action,noun,A1,single,The act of doing something to reach a goal,"การกระทำ, การลงมือ",oxford3000,actions,plural,การกระทำเพื่อให้บรรลุเป้าหมาย
activate,verb,B2,single,To make something start working,"เปิดใช้งาน, ทำให้ทำงาน",oxford5000,activate,base,ทำให้สิ่งใดสิ่งหนึ่งเริ่มทำงาน
activate,verb,B2,single,To make something start working,"เปิดใช้งาน, ทำให้ทำงาน",oxford5000,activates,third_person,ทำให้สิ่งใดสิ่งหนึ่งเริ่มทำงาน
activate,verb,B2,single,To make something start working,"เปิดใช้งาน, ทำให้ทำงาน",oxford5000,activated,past,ทำให้สิ่งใดสิ่งหนึ่งเริ่มทำงาน
activate,verb,B2,single,To make something start working,"เปิดใช้งาน, ทำให้ทำงาน",oxford5000,activating,gerund,ทำให้สิ่งใดสิ่งหนึ่งเริ่มทำงาน
activation,noun,C1,single,The act of making something start working,การเปิดใช้งาน,oxford5000,activation,base,การทำให้สิ่งใดสิ่งหนึ่งเริ่มทำงาน
activation,noun,C1,single,The act of making something start working,การเปิดใช้งาน,oxford5000,activations,plural,การทำให้สิ่งใดสิ่งหนึ่งเริ่มทำงาน
active,adj,A2,single,Busy doing things; working or moving,"กระตือรือร้น, ที่ทำงานอยู่",oxford3000,active,base,ยุ่งอยู่กับการทำสิ่งต่างๆ กำลังทำงานหรือเคลื่อนไหวอยู่
activist,noun,C1,single,A person who works hard to change society,นักเคลื่อนไหว,oxford5000,activist,base,คนที่ทำงานหนักเพื่อเปลี่ยนแปลงสังคม
activist,noun,C1,single,A person who works hard to change society,นักเคลื่อนไหว,oxford5000,activists,plural,คนที่ทำงานหนักเพื่อเปลี่ยนแปลงสังคม
